,Label,Serving Size,Calories,Fat,Cholesterol,Sodium,Carbs,Protein
216,RosemaryRoastedChickenThigh,4oz,105,7.5,39.4,31.4,1.4,7.7
217,LemonHerbChicken,1each,275,14.5,95.3,172.5,0.6,33.9
218,GrilledTandooriChicken,6oz,396,14.1,98.8,408.9,27.5,35.4
219,ChickenCutlet,4oz,288,5.4,143.4,327.1,25.7,32.6
220,ChickenFrancaise,4oz,462,21.1,196.1,478.4,19.3,44.7
221,ParmeseanCrustedChicken,1each,352,11.9,234.2,292.7,21.6,38.4
222,ChickenCordonBleu,1each,396,18.7,50.2,1250.2,37.2,20.6
223,ChickenMonte,1each,293,11.9,101.9,255.8,8.4,36
224,BBQChicken,1each,268,14.7,118.3,193.1,2.5,29.8
225,HerbBakedChicken,1each,360,23.5,113.9,598,10.6,25.4
226,ChickenAlfredowithPenne&Artichoke,6oz,622,22.7,84.5,317,73.6,26.7
227,SouthwestChickenBreast,6oz,324,18.6,96.4,167,1,35.4
228,RoastedChicken,1each,264,15,97.3,529.4,0,30.2
229,ChickenNuggets,6each,491,34.7,58.3,1312.2,26.2,19
230,ChickenCaesar,4oz,302,15.8,99.6,352.5,1.1,37.3
231,RoastedTurkeyThighswithPanGravy,4oz,181,9.7,70.3,499.3,0.7,21.4
232,ThaiChicken&Greens,4oz,299,14.8,96.6,998.7,1.6,37.4
233,FriedChickenTenders,8oz,202,1.7,60.8,1021.6,18,27
234,BrazilianRoastChicken,1each,367,24.7,126.2,95.4,2.8,32
235,ChickenParmesan,1each,484,27,147,762.8,16.7,41.5
236,ParmesanCrustedChicken,1each,195,11.8,67,267.4,6.6,14.7
237,BuffaloChickenMacaroni&Cheese,6oz,671,22.4,93.7,1639.5,81,32.4
238,WildMushroomMacaroni&Cheese,8oz,651,27.9,53.7,393.7,72.8,24.2
239,BraisedBeefMacaroni&Cheese,8oz,796,37.7,106.7,429.8,71.6,37.9
240,ChickenTacoFilling,4oz,247,16.1,85.1,6738,0,23.6
241,Macaroni&CheesewithTassoHam&Seafood,4oz,356,13.1,64.8,492.6,37.4,19.8
242,Seafood&HamMacaroniBake,4oz,159,11,46.4,582.5,4.2,11
243,FriedChickenWings,4each,1396,74.5,148.1,105.1,143.1,41.1
244,BreadedAsagioChickenTenders,4oz,332,7.9,188.1,178.9,15.9,46.5
245,ThaiChickenBreast,1LB,930,16.2,385.6,1424.3,54.4,140.7
246,ThaiChickenSalad&Orange,1each,965,16.2,385.6,1464.3,61.5,143.7
247,SkeweredChicken,6oz,317,20.4,97.3,181.5,0.9,30.4
248,GrilledChickenwithPeaches,1each,258,11.1,96.4,91,2.1,35.5
249,MapleOrangeChicken,4oz,324,18.2,83.5,1326.1,23.1,15.1
250,ForbesGrilledChickenBreast,1each,229,8.7,96.4,119.3,0.1,35.2
251,ForbesGrilledChickenThigh,1each,263,15.8,102.1,120.5,0.1,28.4
252,HerbRoastedChickenwithRedPepperCoulis,1each,91,3,27.5,168.1,5.1,10.3
253,RedPepperCoulis,1oz,12,0,0,77.6,2.4,0
254,SearedSalmonwithGingerChiliGlaze,6oz,152,7,33.5,276.5,11.4,11.8
255,GrilledTofu&Mushrooms,8oz,142,7.1,0,519.1,9.9,13
256,GrilledTofu&CaramelizedOnions,8oz,129,6.9,0,383.3,8.1,11.1
257,VeganEggplantRollatini,6oz,142,3.9,0,733.5,25,4.4
258,GingerChiliGlazedChickenwithVegetableSlaw,6oz,323,6.5,144.6,369.9,11.4,52.8
259,GrilledChickenBreast,1each,122,1,60.8,648,2,24.3
260,StirFriedTurkey&Vegetables,6oz,124,2.4,40.5,673,5.7,18.8
261,SlicedDeliTurkey,3oz,106,2.3,45.6,592.3,0,19.7
262,TurkeySausage,2each,132,9.9,49.6,352.5,0,9.9
263,TurkeyTacoFilling,4oz,194,12.1,65.9,888.6,1.9,19.6
264,CaliforniaTurkeyCutlet,1each,315,12.8,69.7,106.2,20,29
265,CaliforniaTurkeyCutlet,1each,219,9.7,29.3,269.7,20.3,13.1
266,Turkey&BroccoliCasserole,8oz,459,15.7,66.1,583,51.9,24.5
267,RoastedBonelessTurkeyBreast,4oz,206,7.9,78.4,72.6,1.4,30.6
268,TurkeyCutletPesto,1each,409,23.7,100.4,361.5,9.2,37.5
269,TurkeyLoMein,8oz,659,18.4,58.8,4422.4,71.9,45.3
270,TurkeyFriedRice,8oz,330,10.1,73.6,1289.1,36.6,21.5
271,TurkeyChili,8oz,235,9.1,79.1,272.5,12,26.7
272,DuckConfitoverSweetPotatoPancake&CranberryChutney,4oz,143,4.3,50,187.1,16.6,9.4
273,GingerGlazedDuckLegs,1each,480,35.7,0.2,97.6,14.3,24
274,GingerOrangeDuckBreast,2oz,57,2.7,0,0.2,2.2,5.8
275,RoastedDuckonPotatoPancake,1each,325,25,18.6,74.7,7.9,16.1
276,RoastCornishHen,1/2each,626,43.2,302.2,428.7,5.9,50.5
277,GrilledPollock,1each,84,2.5,51.5,106.3,0.4,14.1
278,CajunCatfish,4oz,167,9.6,67.4,167.5,0,18.8
279,OvenBroiledCatfish,4oz,161,7.8,81.6,56.7,0.2,21
280,LemonPepperFish,1each,230,15,45,440,9,14
281,ShrimpBar,2oz,130,6.8,67.1,243.7,7.2,10.3
282,FriedFlounder,1each,263,13.9,38.6,603.3,19.2,16.6
283,BakedStuffedFish,8oz,197,7.5,95.6,307.7,7.7,24.1
284,BakedFish,1each,144,5.4,53,75.4,0.5,22.1
285,FriedFish,1each,266,4.4,93.7,1086.2,28.5,27.6
286,ShrimpScampi,4oz,229,16.1,190,767.1,2.7,16.4
287,ShrimpFriedRice,6oz,187,3.4,76.7,849.3,26,12
